Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
4716560,CHOLERA_0000000003,COUNTRY,GMB,AFR,YEAR,Africa,,2005,,,,,,,,6.07,,,,,2013-06-11T14:04:28+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
4773486,CHOLERA_0000000003,COUNTRY,COD,AFR,YEAR,Africa,,1997,,,,,,,,13.47,,,,,2013-06-11T14:04:28+02:00,1997,1997-01-01T00:00:00+01:00,1997-12-31T00:00:00+01:00
4773929,CHOLERA_0000000003,COUNTRY,BDI,AFR,YEAR,Africa,,2012,,,,,,,,0.47,0.47,,,,2013-10-03T09:19:13+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
4805409,CHOLERA_0000000003,COUNTRY,POL,EUR,YEAR,Europe,,2005,,,,,,,,0,,,,,2013-06-11T14:04:28+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
4818183,CHOLERA_0000000003,COUNTRY,ZMB,AFR,YEAR,Africa,,1996,,,,,,,,1.93,,,,,2013-06-11T14:04:28+02:00,1996,1996-01-01T00:00:00+01:00,1996-12-31T00:00:00+01:00
4818256,CHOLERA_0000000003,COUNTRY,MYS,WPR,YEAR,Western Pacific,,1974,,,,,,,,0,,,,,2013-06-11T14:04:28+02:00,1974,1974-01-01T00:00:00+01:00,1974-12-31T00:00:00+01:00
4830858,CHOLERA_0000000003,COUNTRY,VNM,WPR,YEAR,Western Pacific,,1969,,,,,,,,1.01,,,,,2013-06-11T14:04:28+02:00,1969,1969-01-01T00:00:00+01:00,1969-12-31T00:00:00+01:00
4849863,CHOLERA_0000000003,COUNTRY,BGD,SEAR,YEAR,South-East Asia,,1960,,,,,,,,40.16,,,,,2013-06-11T14:04:28+02:00,1960,1960-01-01T00:00:00+01:00,1960-12-31T00:00:00+01:00
4907026,CHOLERA_0000000003,COUNTRY,KEN,AFR,YEAR,Africa,,1987,,,,,,,,4.71,,,,,2013-06-11T14:04:28+02:00,1987,1987-01-01T00:00:00+01:00,1987-12-31T00:00:00+01:00
4913170,CHOLERA_0000000003,COUNTRY,MYS,WPR,YEAR,Western Pacific,,1977,,,,,,,,2.7,,,,,2013-06-11T14:04:28+02:00,1977,1977-01-01T00:00:00+01:00,1977-12-31T00:00:00+01:00
4913300,CHOLERA_0000000003,COUNTRY,TGO,AFR,YEAR,Africa,,1978,,,,,,,,100,,,,,2013-06-11T14:04:28+02:00,1978,1978-01-01T00:00:00+01:00,1978-12-31T00:00:00+01:00
4932279,CHOLERA_0000000003,COUNTRY,SWE,EUR,YEAR,Europe,,1973,,,,,,,,0,,,,,2013-06-11T14:04:28+02:00,1973,1973-01-01T00:00:00+01:00,1973-12-31T00:00:00+01:00
4951409,CHOLERA_0000000003,COUNTRY,THA,SEAR,YEAR,South-East Asia,,1975,,,,,,,,6.59,,,,,2013-06-11T14:04:28+02:00,1975,1975-01-01T00:00:00+01:00,1975-12-31T00:00:00+01:00
4989452,CHOLERA_0000000003,COUNTRY,RWA,AFR,YEAR,Africa,,1989,,,,,,,,0,,,,,2013-06-11T14:04:28+02:00,1989,1989-01-01T00:00:00+01:00,1989-12-31T00:00:00+01:00
5001508,CHOLERA_0000000003,COUNTRY,LBY,EMR,YEAR,Eastern Mediterranean,,1970,,,,,,,,2.43,,,,,2013-06-11T14:04:28+02:00,1970,1970-01-01T00:00:00+01:00,1970-12-31T00:00:00+01:00
5008288,CHOLERA_0000000003,COUNTRY,NER,AFR,YEAR,Africa,,2002,,,,,,,,5.08,,,,,2013-06-11T14:04:28+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
5020958,CHOLERA_0000000003,COUNTRY,MYS,WPR,YEAR,Western Pacific,,1994,,,,,,,,0,,,,,2013-06-11T14:04:28+02:00,1994,1994-01-01T00:00:00+01:00,1994-12-31T00:00:00+01:00
5026978,CHOLERA_0000000003,COUNTRY,THA,SEAR,YEAR,South-East Asia,,1987,,,,,,,,0.57,,,,,2013-06-11T14:04:28+02:00,1987,1987-01-01T00:00:00+01:00,1987-12-31T00:00:00+01:00
5033676,CHOLERA_0000000003,COUNTRY,MDG,AFR,YEAR,Africa,,1996,,,,,,,,0,,,,,2013-06-11T14:04:28+02:00,1996,1996-01-01T00:00:00+01:00,1996-12-31T00:00:00+01:00
5058724,CHOLERA_0000000003,COUNTRY,IRQ,EMR,YEAR,Eastern Mediterranean,,2008,,,,,,,,1.19,,,,,2013-06-11T14:04:28+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
5128509,CHOLERA_0000000003,COUNTRY,ZMB,AFR,YEAR,Africa,,1982,,,,,,,,9.34,,,,,2013-06-11T14:04:28+02:00,1982,1982-01-01T00:00:00+01:00,1982-12-31T00:00:00+01:00
5172541,CHOLERA_0000000003,COUNTRY,IND,SEAR,YEAR,South-East Asia,,1954,,,,,,,,87.46,,,,,2013-06-11T14:04:28+02:00,1954,1954-01-01T00:00:00+01:00,1954-12-31T00:00:00+01:00
5222853,CHOLERA_0000000003,COUNTRY,HTI,AMR,YEAR,Americas,,2010,,,,,,,,2.22,,,,,2013-06-11T14:04:28+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
5242322,CHOLERA_0000000003,COUNTRY,JPN,WPR,YEAR,Western Pacific,,2013,,,,,,,,0,0.0,,,,2014-08-29T13:48:31+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
5298583,CHOLERA_0000000003,COUNTRY,BRA,AMR,YEAR,Americas,,2000,,,,,,,,2.38,,,,,2013-06-11T14:04:28+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
5393465,CHOLERA_0000000003,COUNTRY,PHL,WPR,YEAR,Western Pacific,,1998,,,,,,,,2.33,,,,,2013-06-11T14:04:28+02:00,1998,1998-01-01T00:00:00+01:00,1998-12-31T00:00:00+01:00
