Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
5759617,CHOLERA_0000000001,COUNTRY,MMR,SEAR,YEAR,South-East Asia,,1961,,,,,,,,1,,,,,2013-06-11T14:04:28+02:00,1961,1961-01-01T00:00:00+01:00,1961-12-31T00:00:00+01:00
5761368,CHOLERA_0000000001,COUNTRY,UGA,AFR,YEAR,Africa,,2001,,,,,,,,247,,,,,2013-06-11T14:04:28+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
5769668,CHOLERA_0000000001,COUNTRY,MMR,SEAR,YEAR,South-East Asia,,1994,,,,,,,,421,,,,,2013-06-11T14:04:28+02:00,1994,1994-01-01T00:00:00+01:00,1994-12-31T00:00:00+01:00
5773912,CHOLERA_0000000001,COUNTRY,CHN,WPR,YEAR,Western Pacific,,1988,,,,,,,,7267,,,,,2013-06-11T14:04:28+02:00,1988,1988-01-01T00:00:00+01:00,1988-12-31T00:00:00+01:00
5777890,CHOLERA_0000000001,COUNTRY,MYS,WPR,YEAR,Western Pacific,,1977,,,,,,,,444,,,,,2013-06-11T14:04:28+02:00,1977,1977-01-01T00:00:00+01:00,1977-12-31T00:00:00+01:00
5788523,CHOLERA_0000000001,COUNTRY,COD,AFR,YEAR,Africa,,1996,,,,,,,,7886,,,,,2013-06-11T14:04:28+02:00,1996,1996-01-01T00:00:00+01:00,1996-12-31T00:00:00+01:00
5792767,CHOLERA_0000000001,COUNTRY,HND,AMR,YEAR,Americas,,1994,,,,,,,,5049,,,,,2013-06-11T14:04:28+02:00,1994,1994-01-01T00:00:00+01:00,1994-12-31T00:00:00+01:00
5800503,CHOLERA_0000000001,COUNTRY,IRN,EMR,YEAR,Eastern Mediterranean,,2002,,,,,,,,118,,,,,2013-06-11T14:04:28+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
5804885,CHOLERA_0000000001,COUNTRY,ITA,EUR,YEAR,Europe,,1994,,,,,,,,12,,,,,2013-06-11T14:04:28+02:00,1994,1994-01-01T00:00:00+01:00,1994-12-31T00:00:00+01:00
5813744,CHOLERA_0000000001,COUNTRY,DEU,EUR,YEAR,Europe,,1992,,,,,,,,1,,,,,2013-06-11T14:04:28+02:00,1992,1992-01-01T00:00:00+01:00,1992-12-31T00:00:00+01:00
5817229,CHOLERA_0000000001,COUNTRY,IDN,WPR,YEAR,Western Pacific,,1989,,,,,,,,67,,,,,2013-06-11T14:04:28+02:00,1989,1989-01-01T00:00:00+01:00,1989-12-31T00:00:00+01:00
5823569,CHOLERA_0000000001,COUNTRY,IDN,WPR,YEAR,Western Pacific,,1997,,,,,,,,66,,,,,2013-06-11T14:04:28+02:00,1997,1997-01-01T00:00:00+01:00,1997-12-31T00:00:00+01:00
