Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
5518464,CHOLERA_0000000002,COUNTRY,IRN,EMR,YEAR,Eastern Mediterranean,,,1991,,,,,,,32,32.0,,,,2013-06-11T14:01:25+02:00,1991,1991-01-01T00:00:00+01:00,1991-12-31T00:00:00+01:00
5519547,CHOLERA_0000000002,COUNTRY,VNM,WPR,YEAR,Western Pacific,,,1950,,,,,,,4,4.0,,,,2013-06-11T14:01:25+02:00,1950,1950-01-01T00:00:00+01:00,1950-12-31T00:00:00+01:00
5519797,CHOLERA_0000000002,COUNTRY,UGA,AFR,YEAR,Africa,,,1997,,,,,,,188,188.0,,,,2013-06-11T14:01:25+02:00,1997,1997-01-01T00:00:00+01:00,1997-12-31T00:00:00+01:00
5527141,CHOLERA_0000000002,COUNTRY,SOM,EMR,YEAR,Eastern Mediterranean,,,1995,,,,,,,191,191.0,,,,2013-06-11T14:01:25+02:00,1995,1995-01-01T00:00:00+01:00,1995-12-31T00:00:00+01:00
5529416,CHOLERA_0000000002,COUNTRY,KWT,EMR,YEAR,Eastern Mediterranean,,,1985,,,,,,,0,0.0,,,,2013-06-11T14:01:25+02:00,1985,1985-01-01T00:00:00+01:00,1985-12-31T00:00:00+01:00
5557534,CHOLERA_0000000002,COUNTRY,NPL,SEAR,YEAR,South-East Asia,,,1965,,,,,,,97,97.0,,,,2013-06-11T14:01:25+02:00,1965,1965-01-01T00:00:00+01:00,1965-12-31T00:00:00+01:00
5564245,CHOLERA_0000000002,COUNTRY,MOZ,AFR,YEAR,Africa,,,2009,,,,,,,155,155.0,,,,2013-06-11T14:01:25+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
5570358,CHOLERA_0000000002,COUNTRY,ZMB,AFR,YEAR,Africa,,,1996,,,,,,,42,42.0,,,,2013-06-11T14:01:25+02:00,1996,1996-01-01T00:00:00+01:00,1996-12-31T00:00:00+01:00
5571785,CHOLERA_0000000002,COUNTRY,FRA,EUR,YEAR,Europe,,,1997,,,,,,,0,0.0,,,,2013-06-11T14:01:25+02:00,1997,1997-01-01T00:00:00+01:00,1997-12-31T00:00:00+01:00
5578878,CHOLERA_0000000002,COUNTRY,GHA,AFR,YEAR,Africa,,,2000,,,,,,,74,74.0,,,,2013-06-11T14:01:25+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
5580467,CHOLERA_0000000002,COUNTRY,CMR,AFR,YEAR,Africa,,,2003,,,,,,,36,36.0,,,,2013-06-11T14:01:25+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
5580589,CHOLERA_0000000002,COUNTRY,AFG,EMR,YEAR,Eastern Mediterranean,,,2015,,,,,,,8,8.0,,,,2016-09-16T09:37:07+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
5585604,CHOLERA_0000000002,COUNTRY,USA,AMR,YEAR,Americas,,,2010,,,,,,,0,0.0,,,,2013-06-11T14:01:25+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
5586115,CHOLERA_0000000002,COUNTRY,JPN,WPR,YEAR,Western Pacific,,,1982,,,,,,,0,0.0,,,,2013-06-11T14:01:25+02:00,1982,1982-01-01T00:00:00+01:00,1982-12-31T00:00:00+01:00
5594912,CHOLERA_0000000002,COUNTRY,CMR,AFR,YEAR,Africa,,,2000,,,,,,,29,29.0,,,,2013-06-11T14:01:25+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
5596819,CHOLERA_0000000002,COUNTRY,SGP,WPR,YEAR,Western Pacific,,,1978,,,,,,,0,0.0,,,,2013-06-11T14:01:25+02:00,1978,1978-01-01T00:00:00+01:00,1978-12-31T00:00:00+01:00
5598092,CHOLERA_0000000002,COUNTRY,LBR,AFR,YEAR,Africa,,,1988,,,,,,,1,1.0,,,,2013-06-11T14:01:25+02:00,1988,1988-01-01T00:00:00+01:00,1988-12-31T00:00:00+01:00
5620229,CHOLERA_0000000002,COUNTRY,NPL,SEAR,YEAR,South-East Asia,,,1991,,,,,,,873,873.0,,,,2013-06-11T14:01:25+02:00,1991,1991-01-01T00:00:00+01:00,1991-12-31T00:00:00+01:00
5626133,CHOLERA_0000000002,COUNTRY,MYS,WPR,YEAR,Western Pacific,,,1987,,,,,,,18,18.0,,,,2013-06-11T14:01:25+02:00,1987,1987-01-01T00:00:00+01:00,1987-12-31T00:00:00+01:00
5638827,CHOLERA_0000000002,COUNTRY,IND,SEAR,YEAR,South-East Asia,,,2016,,,,,,,3,3.0,,,,2017-08-23T09:37:22+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
5649851,CHOLERA_0000000002,COUNTRY,SDN,EMR,YEAR,Eastern Mediterranean,,,1985,,,,,,,239,239.0,,,,2013-06-11T14:01:25+02:00,1985,1985-01-01T00:00:00+01:00,1985-12-31T00:00:00+01:00
5655806,CHOLERA_0000000002,COUNTRY,IDN,WPR,YEAR,Western Pacific,,,2005,,,,,,,19,19.0,,,,2013-06-11T14:01:25+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
5665516,CHOLERA_0000000002,COUNTRY,NLD,EUR,YEAR,Europe,,,1998,,,,,,,0,0.0,,,,2013-06-11T14:01:25+02:00,1998,1998-01-01T00:00:00+01:00,1998-12-31T00:00:00+01:00
5670783,CHOLERA_0000000002,COUNTRY,BRA,AMR,YEAR,Americas,,,1991,,,,,,,33,33.0,,,,2013-06-11T14:01:25+02:00,1991,1991-01-01T00:00:00+01:00,1991-12-31T00:00:00+01:00
5670975,CHOLERA_0000000002,COUNTRY,SWE,EUR,YEAR,Europe,,,1996,,,,,,,0,0.0,,,,2013-06-11T14:01:25+02:00,1996,1996-01-01T00:00:00+01:00,1996-12-31T00:00:00+01:00
5671617,CHOLERA_0000000002,COUNTRY,MMR,SEAR,YEAR,South-East Asia,,,1967,,,,,,,0,0.0,,,,2013-06-11T14:01:25+02:00,1967,1967-01-01T00:00:00+01:00,1967-12-31T00:00:00+01:00
5671643,CHOLERA_0000000002,COUNTRY,COM,AFR,YEAR,Africa,,,2002,,,,,,,46,46.0,,,,2013-06-11T14:01:25+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
5671805,CHOLERA_0000000002,COUNTRY,BLZ,AMR,YEAR,Americas,,,1998,,,,,,,1,1.0,,,,2013-06-11T14:01:25+02:00,1998,1998-01-01T00:00:00+01:00,1998-12-31T00:00:00+01:00
5681538,CHOLERA_0000000002,COUNTRY,KEN,AFR,YEAR,Africa,,,2009,,,,,,,264,264.0,,,,2013-06-11T14:01:25+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
5687361,CHOLERA_0000000002,COUNTRY,VNM,WPR,YEAR,Western Pacific,,,1973,,,,,,,18,18.0,,,,2013-06-11T14:01:25+02:00,1973,1973-01-01T00:00:00+01:00,1973-12-31T00:00:00+01:00
